"ADDRESS","BOROUGH","BIN","ZIP","CD","HPD_VIOLATIONS","DOB_VIOLATIONS","TOTAL_VIOLATIONS","DWELLING_UNITS","VIO_UNITS_RATIO"
"1039 MANOR AVENUE","Bronx","2023544","10472","209","13","0","13","4","3.3"
"1035 MANOR AVENUE","Bronx","2023546","10472","209","105","6","111","4","27.8"
"1023 MANOR AVENUE","Bronx","2023552","10472","209","16","0","16","4","4"
"1038 WHITE PLAINS ROAD","Bronx","2023665","10472","209","72","0","72","6","12"
"1173 COLGATE AVENUE","Bronx","2023723","10472","209","38","0","38","4","9.5"
"1121 COLGATE AVENUE","Bronx","2023747","10472","209","21","0","21","4","5.3"
"1165 EVERGREEN AVENUE","Bronx","2023765","10472","209","110","0","110","40","2.8"
"1155 EVERGREEN AVENUE","Bronx","2023766","10472","209","94","0","94","40","2.4"
"1163 WHEELER AVENUE","Bronx","2023780","10472","209","14","0","14","4","3.5"
"1159 WHEELER AVENUE","Bronx","2023782","10472","209","12","0","12","4","3"
"1137 WHEELER AVENUE","Bronx","2023792","10472","209","22","0","22","4","5.5"
"1133 WHEELER AVENUE","Bronx","2023794","10472","209","13","0","13","4","3.3"
"1144 WHEELER AVENUE","Bronx","2023822","10472","209","12","0","12","4","3"
"1158 WHEELER AVENUE","Bronx","2023829","10472","209","17","0","17","4","4.3"
"1161 ELDER AVENUE","Bronx","2023835","10472","209","118","4","122","49","2.5"
"1117 BOYNTON AVENUE","Bronx","2023877","10472","209","19","0","19","4","4.8"
"1115 BOYNTON AVENUE","Bronx","2023878","10472","209","14","0","14","4","3.5"
"1109 BOYNTON AVENUE","Bronx","2023881","10472","209","37","0","37","4","9.3"
"1118 BOYNTON AVENUE","Bronx","2023885","10472","209","51","1","52","4","13"
"1136 BOYNTON AVENUE","Bronx","2023894","10472","209","35","0","35","4","8.8"
"1158 BOYNTON AVENUE","Bronx","2023896","10472","209","162","10","172","66","2.6"
"1147 MANOR AVENUE","Bronx","2023949","10472","209","15","0","15","4","3.8"
"1143 MANOR AVENUE","Bronx","2023951","10472","209","22","0","22","4","5.5"
"1123 MANOR AVENUE","Bronx","2023961","10472","209","40","0","40","4","10"
"1124 STRATFORD AVENUE","Bronx","2024019","10472","209","95","0","95","40","2.4"
"1134 STRATFORD AVENUE","Bronx","2024020","10472","209","136","0","136","40","3.4"
"1127 FTELEY AVENUE","Bronx","2024051","10472","209","49","0","49","4","12.3"
"1123 FTELEY AVENUE","Bronx","2024052","10472","209","13","0","13","4","3.3"
"1121 FTELEY AVENUE","Bronx","2024053","10472","209","28","0","28","4","7"
"1120 METCALF AVENUE","Bronx","2024067","10472","209","25","0","25","4","6.3"
"1117 CROES AVENUE","Bronx","2024108","10472","209","14","0","14","4","3.5"
"1142 FTELEY AVENUE","Bronx","2024137","10472","209","16","0","16","4","4"
"1150 FTELEY AVENUE","Bronx","2024141","10472","209","11","4","15","4","3.8"
"1119 NOBLE AVENUE","Bronx","2024167","10472","209","25","0","25","4","6.3"
"1129 ST LAWRENCE AVENUE","Bronx","2024237","10472","209","96","0","96","25","3.8"
"1162 ST LAWRENCE AVENUE","Bronx","2024266","10472","209","38","0","38","8","4.8"
"1147 WHITE PLAINS ROAD","Bronx","2024500","10472","209","14","0","14","4","3.5"
"1144 WHITE PLAINS ROAD","Bronx","2024539","10472","209","72","0","72","4","18"
"1115 VIRGINIA AVENUE","Bronx","2024561","10472","209","149","3","152","5","30.4"
"1226 ROSEDALE AVENUE","Bronx","2024613","10472","209","15","0","15","5","3"
"1212 COMMONWEALTH AVENUE","Bronx","2024640","10472","209","17","0","17","4","4.3"
"1220 COMMONWEALTH AVENUE","Bronx","2024644","10472","209","24","0","24","4","6"
"1227 ST LAWRENCE AVENUE","Bronx","2024660","10472","209","21","0","21","3","7"
"1237 BEACH AVENUE","Bronx","2024702","10472","209","47","7","54","5","10.8"
"1813 GLEASON AVENUE","Bronx","2024713","10472","209","31","0","31","3","10.3"
"1210 BEACH AVENUE","Bronx","2024719","10472","209","43","0","43","3","14.3"
"1838 WESTCHESTER AVENUE","Bronx","2024785","10472","209","124","1","125","4","31.3"
"1849 GLEASON AVENUE","Bronx","2024810","10472","209","32","0","32","5","6.4"
"1230 LELAND AVENUE","Bronx","2024862","10472","209","112","0","112","49","2.3"
"1250 LELAND AVENUE","Bronx","2024867","10472","209","119","0","119","43","2.8"
"1901 GLEASON AVENUE","Bronx","2024880","10472","209","86","1","87","29","3"
"1245 BRONX RIVER AVENUE","Bronx","2024956","10472","209","45","2","47","4","11.8"
"1226 EVERGREEN AVENUE","Bronx","2025050","10472","209","38","1","39","11","3.5"
"1238 EVERGREEN AVENUE","Bronx","2025056","10472","209","23","2","25","4","6.3"
"1233 WHEELER AVENUE","Bronx","2025095","10472","209","10","0","10","3","3.3"
"1211 WHEELER AVENUE","Bronx","2025102","10472","209","40","0","40","11","3.6"
"1233 ELDER AVENUE","Bronx","2025148","10472","209","19","0","19","3","6.3"
"1209 ELDER AVENUE","Bronx","2025154","10472","209","90","0","90","11","8.2"
"1533 WESTCHESTER AVENUE","Bronx","2025161","10472","209","73","1","74","10","7.4"
"1531 WESTCHESTER AVENUE","Bronx","2025162","10472","209","31","0","31","10","3.1"
"1234 ELDER AVENUE","Bronx","2025172","10472","209","17","0","17","4","4.3"
"1244 BOYNTON AVENUE","Bronx","2025237","10472","209","14","0","14","4","3.5"
"1263 WARD AVENUE","Bronx","2025256","10472","209","11","0","11","3","3.7"
"1235 WARD AVENUE","Bronx","2025270","10472","209","14","0","14","3","4.7"
"1254 MANOR AVENUE","Bronx","2025341","10472","209","39","4","43","6","7.2"
"1255 STRATFORD AVENUE","Bronx","2025349","10472","209","157","8","165","70","2.4"
"1245 STRATFORD AVENUE","Bronx","2025350","10472","209","160","2","162","70","2.3"
"1241 HARROD AVENUE","Bronx","2025406","10472","209","12","0","12","3","4"
"1256 FTELEY AVENUE","Bronx","2025446","10472","209","39","0","39","5","7.8"
"1260 FTELEY AVENUE","Bronx","2025448","10472","209","15","0","15","5","3"
"1271 NOBLE AVENUE","Bronx","2025518","10472","209","17","0","17","4","4.3"
"1256 NOBLE AVENUE","Bronx","2025543","10472","209","116","0","116","4","29"
"1258 NOBLE AVENUE","Bronx","2025544","10472","209","0","28","28","4","7"
"1742 EAST 172 STREET","Bronx","2025588","10472","209","223","6","229","91","2.5"
"1969 CHATTERTON AVENUE","Bronx","2025670","10472","209","13","0","13","3","4.3"
"1970 POWELL AVENUE","Bronx","2025744","10472","209","12","0","12","3","4"
"1958 CROSS BRONX EXPRESSWAY","Bronx","2025920","10472","209","20","0","20","3","6.7"
"2124 CHATTERTON AVENUE","Bronx","2026292","10472","209","26","0","26","4","6.5"
"2128 CHATTERTON AVENUE","Bronx","2026294","10472","209","45","0","45","4","11.3"
"2167 BRUCKNER BOULEVARD","Bronx","2026314","10472","209","21","2","23","3","7.7"
"2147 BRUCKNER BOULEVARD","Bronx","2026319","10472","209","94","5","99","4","24.8"
"2133 BRUCKNER BOULEVARD","Bronx","2026326","10472","209","28","0","28","4","7"
"2136 GLEASON AVENUE","Bronx","2026478","10462","209","19","0","19","3","6.3"
"2250 HAVILAND AVENUE","Bronx","2026718","10462","209","83","0","83","15","5.5"
"2256 HAVILAND AVENUE","Bronx","2026721","10462","209","47","0","47","15","3.1"
"1273 HAVEMEYER AVENUE","Bronx","2026942","10462","209","43","0","43","4","10.8"
"2326 GLEASON AVENUE","Bronx","2027023","10462","209","32","0","32","4","8"
"2333 ELLIS AVENUE","Bronx","2027124","10462","209","80","0","80","5","16"
"1361 BRONX RIVER AVENUE","Bronx","2027335","10472","209","15","0","15","3","5"
"1310 WHEELER AVENUE","Bronx","2027369","10472","209","24","1","25","3","8.3"
"1319 ELDER AVENUE","Bronx","2027393","10472","209","159","0","159","3","53"
"1349 STRATFORD AVENUE","Bronx","2027476","10472","209","427","7","434","72","6"
"1609 EAST  172 STREET","Bronx","2027497","10472","209","20","0","20","4","5"
"1605 EAST 172 STREET","Bronx","2027499","10472","209","37","1","38","4","9.5"
"1310 STRATFORD AVENUE","Bronx","2027502","10472","209","9","8","17","4","4.3"
"1314 STRATFORD AVENUE","Bronx","2027504","10472","209","32","0","32","4","8"
"1318 STRATFORD AVENUE","Bronx","2027506","10472","209","28","0","28","4","7"
"1357 HARROD AVENUE","Bronx","2027551","10472","209","9","0","9","3","3"
"1311 HARROD AVENUE","Bronx","2027571","10472","209","40","0","40","5","8"
"1344 CROES AVENUE","Bronx","2027690","10472","209","11","0","11","3","3.7"
"1723 EAST 172 STREET","Bronx","2027730","10472","209","37","1","38","5","7.6"
"1332 NOBLE AVENUE","Bronx","2027741","10472","209","32","0","32","3","10.7"
"1336 NOBLE AVENUE","Bronx","2027742","10472","209","7","3","10","3","3.3"
"1360 NOBLE AVENUE","Bronx","2027752","10472","209","16","0","16","3","5.3"
"1361 ROSEDALE AVENUE","Bronx","2027761","10472","209","37","2","39","6","6.5"
"1359 ROSEDALE AVENUE","Bronx","2027762","10472","209","21","1","22","4","5.5"
"1324 COMMONWEALTH AVENUE","Bronx","2027831","10472","209","0","13","13","3","4.3"
"1302 ST LAWRENCE AVENUE","Bronx","2027866","10472","209","51","0","51","3","17"
"1339 BEACH AVENUE","Bronx","2027896","10472","209","12","0","12","4","3"
"1311 BEACH AVENUE","Bronx","2027903","10472","209","30","3","33","5","6.6"
"1353 TAYLOR AVENUE","Bronx","2027919","10472","209","19","0","19","5","3.8"
"1342 TAYLOR AVENUE","Bronx","2027941","10472","209","31","0","31","4","7.8"
"1350 TAYLOR AVENUE","Bronx","2027944","10472","209","11","0","11","3","3.7"
"1327 LELAND AVENUE","Bronx","2027991","10472","209","13","0","13","3","4.3"
"1408 BRONX RIVER AVENUE","Bronx","2028036","10472","209","18","0","18","4","4.5"
"1431 CROES AVENUE","Bronx","2028087","10472","209","31","5","36","4","9"
"1425 CROES AVENUE","Bronx","2028090","10472","209","23","0","23","4","5.8"
"1744 MERRILL STREET","Bronx","2028154","10460","209","27","0","27","7","3.9"
"1440 ST LAWRENCE AVENUE","Bronx","2028192","10460","209","9","0","9","3","3"
"1443 BEACH AVENUE","Bronx","2028200","10460","209","13","0","13","4","3.3"
"1453 LELAND AVENUE","Bronx","2028270","10460","209","27","0","27","4","6.8"
"1445 LELAND AVENUE","Bronx","2028274","10460","209","9","5","14","4","3.5"
"1421 LELAND AVENUE","Bronx","2028281","10460","209","37","0","37","4","9.3"
"1460 LELAND AVENUE","Bronx","2028308","10460","209","19","2","21","4","5.3"
"1407 WHITE PLAINS ROAD","Bronx","2028342","10462","209","10","0","10","3","3.3"
"1539 ROSEDALE AVENUE","Bronx","2028424","10460","209","12","0","12","3","4"
"1523 ROSEDALE AVENUE","Bronx","2028427","10460","209","24","0","24","3","8"
"1462 ROSEDALE AVENUE","Bronx","2028439","10460","209","26","0","26","3","8.7"
"1495 BEACH AVENUE","Bronx","2028505","10460","209","11","0","11","3","3.7"
"1489 BEACH AVENUE","Bronx","2028507","10460","209","35","0","35","5","7"
"1528 ROSEDALE AVENUE","Bronx","2028526","10460","209","10","0","10","3","3.3"
"1530 ROSEDALE AVENUE","Bronx","2028527","10460","209","19","0","19","3","6.3"
"1522 ST LAWRENCE AVENUE","Bronx","2028592","10460","209","15","7","22","4","5.5"
"1543 LELAND AVENUE","Bronx","2028651","10460","209","34","0","34","3","11.3"
"1501 WHITE PLAINS ROAD","Bronx","2028682","10462","209","42","0","42","9","4.7"
"2224 LYON AVENUE","Bronx","2041402","10462","210","59","0","59","13","4.5"
"2360 ST RAYMOND AVENUE","Bronx","2041687","10462","210","24","0","24","6","4"
"2512 TRATMAN AVENUE","Bronx","2041847","10461","210","342","4","346","62","5.6"
"1628 GLOVER STREET","Bronx","2041999","10462","210","8","1","9","3","3"
"1666 PARKER STREET","Bronx","2042039","10462","210","34","0","34","9","3.8"
"1711 ZEREGA AVENUE","Bronx","2042056","10462","210","64","0","64","4","16"
"2446 LYVERE STREET","Bronx","2042241","10461","210","221","0","221","38","5.8"
"1753 SEDDON STREET","Bronx","2042251","10461","210","18","0","18","3","6"
"2431 FULLER STREET","Bronx","2042256","10461","210","21","0","21","4","5.3"
"2437 LYVERE STREET","Bronx","2042268","10461","210","114","5","119","43","2.8"
"1714 ST PETERS AVENUE","Bronx","2042357","10461","210","9","0","9","3","3"
"1711 MONTGOMERY PLACE","Bronx","2042377","10461","210","63","0","63","3","21"
"1618 BENSON STREET","Bronx","2042415","10461","210","75","0","75","23","3.3"
"1137 EAST TREMONT AVENUE","Bronx","2042422","10460","206","10","0","10","3","3.3"
"1123 EAST TREMONT AVENUE","Bronx","2042428","10460","206","61","9","70","3","23.3"
"1731 VAN BUREN STREET","Bronx","2042528","10460","211","24","0","24","3","8"
"1716 ADAMS STREET","Bronx","2042545","10460","211","9","0","9","3","3"
"1720 ADAMS STREET","Bronx","2042547","10460","211","25","1","26","3","8.7"
"534 MORRIS PARK AVENUE","Bronx","2042576","10460","211","54","0","54","18","3"
"1728 VAN BUREN STREET","Bronx","2042606","10460","211","36","0","36","3","12"
"1711 TAYLOR AVENUE","Bronx","2042638","10460","211","19","1","20","3","6.7"
"591 VAN NEST AVENUE","Bronx","2042686","10460","211","72","0","72","6","12"
"1728 TAYLOR AVENUE","Bronx","2042700","10460","211","16","0","16","3","5.3"
"1604 VAN BUREN STREET","Bronx","2042726","10460","211","8","1","9","3","3"
"1607 TAYLOR AVENUE","Bronx","2042757","10460","211","54","1","55","3","18.3"
"1609 TAYLOR AVENUE","Bronx","2042766","10460","211","54","0","54","3","18"
"1618 TAYLOR AVENUE","Bronx","2042800","10460","211","6","8","14","4","3.5"
"1632 TAYLOR AVENUE","Bronx","2042806","10460","211","14","0","14","4","3.5"
"622 MEAD STREET","Bronx","2042835","10460","211","10","0","10","3","3.3"
"608 VAN NEST AVENUE","Bronx","2042867","10460","211","18","0","18","4","4.5"
"1683 UNIONPORT ROAD","Bronx","2042882","10462","211","20","1","21","5","4.2"
"608 MORRIS PARK AVENUE","Bronx","2042905","10460","211","42","1","43","3","14.3"
"1753 FILLMORE STREET","Bronx","2042908","10460","211","59","0","59","3","19.7"
"1659 HOLLAND AVENUE","Bronx","2043187","10462","211","20","0","20","3","6.7"
"760 VAN NEST AVENUE","Bronx","2043204","10462","211","32","0","32","3","10.7"
"1667 WALLACE AVENUE","Bronx","2043208","10462","211","10","0","10","3","3.3"
"1659 WALLACE AVENUE","Bronx","2043211","10462","211","26","0","26","3","8.7"
"1848 HOLLAND AVENUE","Bronx","2043579","10462","211","11","0","11","3","3.7"
"1868 MATTHEWS AVENUE","Bronx","2043729","10462","211","33","0","33","11","3"
"1847 BRONXDALE AVENUE","Bronx","2043796","10462","211","25","0","25","3","8.3"
"988 SACKETT AVENUE","Bronx","2043904","10462","211","13","0","13","3","4.3"
"1724 COLDEN AVENUE","Bronx","2044801","10462","211","11","0","11","3","3.7"
"957 MORRIS PARK AVENUE","Bronx","2045357","10462","211","16","0","16","3","5.3"
"1846 HONE AVENUE","Bronx","2045556","10461","211","34","0","34","3","11.3"
"1819 WILLIAMSBRIDGE ROAD","Bronx","2045695","10461","211","127","5","132","61","2.2"
"1714 EDISON AVENUE","Bronx","2046083","10461","210","16","0","16","5","3.2"
"1721 HOBART AVENUE","Bronx","2046135","10461","210","87","1","88","37","2.4"
"3039 ROBERTS AVENUE","Bronx","2046230","10461","210","17","1","18","4","4.5"
"1859 MAYFLOWER AVENUE","Bronx","2046452","10461","210","12","0","12","3","4"
"1856 MAYFLOWER AVENUE","Bronx","2046489","10461","210","22","0","22","4","5.5"
"1822 EDISON AVENUE","Bronx","2046567","10461","210","133","0","133","5","26.6"
"3108 ARNOW PLACE","Bronx","2046676","10461","210","15","0","15","3","5"
"1962 EDISON AVENUE","Bronx","2047328","10461","210","10","0","10","3","3.3"
"2905 WILKINSON AVENUE","Bronx","2047492","10461","210","14","0","14","3","4.7"
"2883 EAST 195 STREET","Bronx","2047579","10461","210","19","0","19","4","4.8"
"2845 EAST 196 STREET","Bronx","2047635","10461","210","26","1","27","4","6.8"
"2135 CONTINENTAL AVENUE","Bronx","2047638","10461","210","33","6","39","4","9.8"
"2932 EAST 194 STREET","Bronx","2047651","10461","210","15","0","15","3","5"
"2023 COLONIAL AVENUE","Bronx","2047747","10461","210","86","1","87","41","2.1"
"2037 BURR AVENUE","Bronx","2047775","10461","210","56","0","56","3","18.7"
"664 SAGAMORE STREET","Bronx","2047837","10462","211","27","0","27","3","9"
"2009 CRUGER AVENUE","Bronx","2047887","10462","211","133","6","139","41","3.4"
"1936 WALLACE AVENUE","Bronx","2047994","10462","211","24","0","24","3","8"
"1907 BOGART AVENUE","Bronx","2048197","10462","211","41","0","41","7","5.9"
"2040 BRONXDALE AVENUE","Bronx","2048777","10462","211","198","1","199","54","3.7"
"2075 WALLACE AVENUE","Bronx","2048821","10462","211","702","1","703","189","3.7"
"2031 TOMLINSON AVENUE","Bronx","2049141","10461","211","14","0","14","4","3.5"
"2145 MATTHEWS AVENUE","Bronx","2049438","10462","211","111","1","112","51","2.2"
"1032 ESPLANADE","Bronx","2049563","10461","211","10","0","10","3","3.3"
"2241 HOLLAND AVENUE","Bronx","2050015","10467","211","136","2","138","49","2.8"
"2337 WALLACE AVENUE","Bronx","2050081","10467","211","19","0","19","3","6.3"
"2316 WALLACE AVENUE","Bronx","2050093","10467","211","233","0","233","33","7.1"
"2315 ESPLANADE","Bronx","2050323","10469","211","9","0","9","3","3"
"2554 HOLLAND AVENUE","Bronx","2051388","10467","211","44","0","44","8","5.5"
"774 ALLERTON AVENUE","Bronx","2051508","10467","211","217","3","220","46","4.8"
"2559 COLDEN AVENUE","Bronx","2051658","10469","211","18","0","18","4","4.5"
"977 MACE AVENUE","Bronx","2051679","10469","211","38","0","38","3","12.7"
"1143 MACE AVENUE","Bronx","2052078","10469","211","19","0","19","3","6.3"
"2544 YATES AVENUE","Bronx","2052096","10469","211","12","0","12","4","3"
"2551 HERING AVENUE","Bronx","2052115","10469","211","29","163","192","3","64"
"2531 HERING AVENUE","Bronx","2052122","10469","211","13","0","13","3","4.3"
"1523 MACE AVENUE","Bronx","2053032","10469","211","10","0","10","3","3.3"
"2758 CRUGER AVENUE","Bronx","2053607","10467","211","119","0","119","54","2.2"
"2708 HOLLAND AVENUE","Bronx","2053646","10467","211","19","0","19","3","6.3"
"2749 WALLACE AVENUE","Bronx","2053676","10467","211","51","0","51","4","12.8"
"2721 WALLACE AVENUE","Bronx","2053690","10467","211","31","0","31","4","7.8"
"788 ARNOW AVENUE","Bronx","2053720","10467","211","273","2","275","55","5"
"2735 BARNES AVENUE","Bronx","2053731","10467","211","12","0","12","4","3"
"2723 BARNES AVENUE","Bronx","2053736","10467","211","129","1","130","59","2.2"
"2715 BARNES AVENUE","Bronx","2053737","10467","211","24","0","24","4","6"
"2711 BARNES AVENUE","Bronx","2053738","10467","211","21","0","21","4","5.3"
"2758 BARNES AVENUE","Bronx","2053756","10467","211","16","0","16","3","5.3"
"826 ARNOW AVENUE","Bronx","2053801","10467","211","58","0","58","4","14.5"
"3054 BARKER AVENUE","Bronx","2054754","10467","212","10","0","10","3","3.3"
"725 ARNOW AVENUE","Bronx","2054801","10467","211","19","4","23","4","5.8"
"2911 HOLLAND AVENUE","Bronx","2054837","10467","211","131","0","131","5","26.2"
"809 ARNOW AVENUE","Bronx","2054893","10467","211","19","13","32","4","8"
"831 ARNOW AVENUE","Bronx","2054900","10467","211","43","0","43","7","6.1"
"2945 RADCLIFF AVENUE","Bronx","2054934","10469","211","21","0","21","3","7"
"1407 ARNOW AVENUE","Bronx","2055431","10469","211","16","0","16","4","4"
"1450 EAST GUN HILL ROAD","Bronx","2055541","10469","211","27","0","27","9","3"
"1466 EAST GUN HILL ROAD","Bronx","2055544","10469","211","110","0","110","30","3.7"
"767 ADEE AVENUE","Bronx","2055596","10467","212","103","0","103","3","34.3"
"3034 HOLLAND AVENUE","Bronx","2055609","10467","212","136","1","137","13","10.5"
"3042 HOLLAND AVENUE","Bronx","2055611","10467","212","124","0","124","13","9.5"
"3046 HOLLAND AVENUE","Bronx","2055612","10467","212","122","0","122","13","9.4"
"3028 WALLACE AVENUE","Bronx","2055638","10467","212","25","0","25","3","8.3"
"805 ADEE AVENUE","Bronx","2055662","10467","212","45","0","45","4","11.3"
"3015 MATTHEWS AVENUE","Bronx","2055689","10467","212","61","0","61","4","15.3"
"3011 MATTHEWS AVENUE","Bronx","2055691","10467","212","12","0","12","4","3"
"3038 BRONXWOOD AVENUE","Bronx","2055756","10469","212","47","0","47","7","6.7"
"3019 COLDEN AVENUE","Bronx","2055809","10469","212","33","0","33","3","11"
"3038 COLDEN AVENUE","Bronx","2055831","10469","212","34","2","36","3","12"
"3011 PAULDING AVENUE","Bronx","2055849","10469","212","33","0","33","7","4.7"
"3018 PAULDING AVENUE","Bronx","2055860","10469","212","22","0","22","7","3.1"
"3019 WILSON AVENUE","Bronx","2056074","10469","211","22","0","22","3","7.3"
"655 BURKE AVENUE","Bronx","2056168","10467","212","261","1","262","59","4.4"
"3234 WHITE PLAINS ROAD","Bronx","2056241","10467","212","14","0","14","3","4.7"
"3233 CRUGER AVENUE","Bronx","2056251","10467","212","50","0","50","3","16.7"
"756 SOUTH OAK DRIVE","Bronx","2056274","10467","212","32","0","32","7","4.6"
"768 SOUTH OAK DRIVE","Bronx","2056279","10467","212","23","0","23","3","7.7"
"3209 WALLACE AVENUE","Bronx","2056280","10467","212","26","2","28","4","7"
"3310 WHITE PLAINS ROAD","Bronx","2056305","10467","212","71","2","73","3","24.3"
"736 BARTHOLDI STREET","Bronx","2056330","10467","212","12","0","12","3","4"
"780 BARTHOLDI STREET","Bronx","2056378","10467","212","19","0","19","3","6.3"
"3214 BRONXWOOD AVENUE","Bronx","2056483","10469","212","11","0","11","3","3.7"
"3226 BRONXWOOD AVENUE","Bronx","2056485","10469","212","325","2","327","17","19.2"
"3235 PAULDING AVENUE","Bronx","2056578","10469","212","9","0","9","3","3"
"1157 BURKE AVENUE","Bronx","2056716","10469","211","30","0","30","3","10"
"3341 BARKER AVENUE","Bronx","2056846","10467","212","48","0","48","5","9.6"
"3435 OLINVILLE AVENUE","Bronx","2056937","10467","212","93","40","133","54","2.5"
"3311 COLDEN AVENUE","Bronx","2057080","10469","212","66","0","66","5","13.2"
"3332 PAULDING AVENUE","Bronx","2057199","10469","212","29","0","29","5","5.8"
"3560 OLINVILLE AVENUE","Bronx","2057282","10467","212","186","7","193","85","2.3"
"3616 BRONX BOULEVARD","Bronx","2057321","10467","212","65","0","65","7","9.3"
"3645 OLINVILLE AVENUE","Bronx","2057346","10467","212","15","0","15","3","5"
"3643 OLINVILLE AVENUE","Bronx","2057347","10467","212","6","3","9","3","3"
"3641 OLINVILLE AVENUE","Bronx","2057348","10467","212","10","0","10","3","3.3"
"3750 BRONX BOULEVARD","Bronx","2057434","10467","212","147","2","149","43","3.5"
"3756 OLINVILLE AVENUE","Bronx","2057473","10467","212","19","0","19","5","3.8"
"3765 WILLETT AVENUE","Bronx","2057484","10467","212","26","0","26","3","8.7"
"3830 BRONX BOULEVARD","Bronx","2057548","10467","212","149","3","152","49","3.1"
"3800 CARPENTER AVENUE","Bronx","2057563","10467","212","211","3","214","55","3.9"
"679 EAST 220 STREET","Bronx","2057630","10467","212","14","0","14","4","3.5"
"3857 WHITE PLAINS ROAD","Bronx","2057658","10467","212","62","2","64","7","9.1"
"3553 HOLLAND AVENUE","Bronx","2057706","10467","212","8","2","10","3","3.3"
"3553 CARLISLE PLACE","Bronx","2057751","10467","212","11","0","11","3","3.7"
"764 EAST 213 STREET","Bronx","2057766","10467","212","23","0","23","3","7.7"
"3535 BARNES AVENUE","Bronx","2057769","10467","212","34","12","46","3","15.3"
"791 EAST 211 STREET","Bronx","2057775","10467","212","34","1","35","5","7"
"3602 HOLLAND AVENUE","Bronx","2057803","10467","212","22","3","25","3","8.3"
"744 EAST 214 STREET","Bronx","2057811","10467","212","27","0","27","8","3.4"
"780 EAST  214 STREET","Bronx","2057818","10467","212","70","0","70","7","10"
"771 EAST 213 STREET","Bronx","2057823","10467","212","93","0","93","7","13.3"
"741 EAST 213 STREET","Bronx","2057834","10467","212","17","0","17","3","5.7"
"708 EAST 215 STREET","Bronx","2057839","10467","212","40","0","40","5","8"
"709 EAST 214 STREET","Bronx","2057852","10467","212","14","0","14","4","3.5"
"3642 HOLLAND AVENUE","Bronx","2057859","10467","212","72","0","72","12","6"
"3644 HOLLAND AVENUE","Bronx","2057860","10467","212","42","3","45","12","3.8"
"769 EAST 214 STREET","Bronx","2057886","10467","212","50","0","50","6","8.3"
"744 EAST  216 STREET","Bronx","2057908","10467","212","11","0","11","3","3.7"
"729 EAST 215 STREET","Bronx","2057916","10467","212","229","5","234","3","78"
"755 EAST 218 STREET","Bronx","2058037","10467","212","14","0","14","4","3.5"
"711 EAST 218 STREET","Bronx","2058054","10467","212","30","0","30","3","10"
"726 EAST  219 STREET","Bronx","2058063","10467","212","9","0","9","3","3"
"737 EAST 219 STREET","Bronx","2058088","10467","212","63","2","65","6","10.8"
"736 EAST  221 STREET","Bronx","2058148","10467","212","23","3","26","3","8.7"
"738 EAST  221 STREET","Bronx","2058149","10467","212","62","0","62","3","20.7"
"754 EAST 221 STREET","Bronx","2058154","10467","212","21","0","21","3","7"
"3610 BARNES AVENUE","Bronx","2058244","10467","212","105","2","107","8","13.4"
"826 EAST 214 STREET","Bronx","2058249","10467","212","37","0","37","4","9.3"
"854 EAST  214 STREET","Bronx","2058258","10467","212","89","3","92","3","30.7"
"3603 BRONXWOOD AVENUE","Bronx","2058261","10469","212","54","0","54","5","10.8"
"822 EAST  215 STREET","Bronx","2058300","10467","212","37","0","37","3","12.3"
"832 EAST 215 STREET","Bronx","2058303","10467","212","22","0","22","3","7.3"
"844 EAST 216 STREET","Bronx","2058364","10467","212","37","0","37","3","12.3"
"820 EAST  218 STREET","Bronx","2058439","10467","212","57","0","57","4","14.3"
"841 EAST 218 STREET","Bronx","2058466","10467","212","32","0","32","6","5.3"
"827 EAST 218 STREET","Bronx","2058470","10467","212","26","4","30","8","3.8"
"3816 BARNES AVENUE","Bronx","2058533","10467","212","23","0","23","7","3.3"
"870 EAST 220 STREET","Bronx","2058557","10467","212","18","0","18","4","4.5"
"829 EAST 220 STREET","Bronx","2058575","10467","212","14","0","14","3","4.7"
"864 EAST 221 STREET","Bronx","2058602","10467","212","19","2","21","7","3"
"836 EAST 222 STREET","Bronx","2058637","10467","212","16","0","16","3","5.3"
"900A EAST  213 STREET","Bronx","2058739","10469","212","12","0","12","4","3"
"3612 BRONXWOOD AVENUE","Bronx","2058787","10469","212","27","1","28","3","9.3"
"941 EAST  214 STREET","Bronx","2058820","10469","212","0","9","9","3","3"
"914 EAST 217 STREET","Bronx","2058922","10469","212","14","0","14","4","3.5"
"901 EAST 217 STREET","Bronx","2058964","10469","212","113","0","113","30","3.8"
"3620 PAULDING AVENUE","Bronx","2059344","10469","212","18","16","34","3","11.3"
"1005 EAST 217 STREET","Bronx","2059520","10469","212","34","0","34","4","8.5"
"1112 EAST 211 STREET","Bronx","2059739","10469","212","16","0","16","3","5.3"
"1314 OAKLEY STREET","Bronx","2059931","10469","212","22","0","22","4","5.5"
"1303 NEEDHAM AVENUE","Bronx","2059949","10469","212","13","4","17","5","3.4"
"1312 NEEDHAM AVENUE","Bronx","2059954","10469","212","14","0","14","3","4.7"
"1417 NEEDHAM AVENUE","Bronx","2060182","10469","212","32","0","32","3","10.7"
"3437 EASTCHESTER ROAD","Bronx","2060214","10469","212","35","2","37","8","4.6"
"3542 EASTCHESTER ROAD","Bronx","2060330","10469","212","12","0","12","3","4"
